Model,stimulus,MOS
banana,banana_level_7,0.92890971686473334
banana,banana_level_8,0.76916517428555697
banana,banana_level_9,0.10508460133013098
banana,banana_gsigma_0_tsigma_8,0.16906861697400699
banana,banana_gsigma_0_tsigma_16,0.39527750599881695
banana,banana_gsigma_0_tsigma_32,0.59886923655829905
banana,banana_gsigma_2_tsigma_8,0.49244874861844201
banana,banana_gsigma_2_tsigma_16,0.50332297791532099
banana,banana_gsigma_2_tsigma_32,0.68653705464765702
banana,banana_gsigma_4_tsigma_8,0.68022968026863895
banana,banana_gsigma_4_tsigma_16,0.72982891781084103
banana,banana_gsigma_4_tsigma_32,0.76616503258842805
banana,banana_tsl_4_tqs_64,0.45879075826861193
banana,banana_tsl_4_tqs_128,0.47504615380998505
banana,banana_tsl_4_tqs_256,0.65815687141926704
banana,banana_tsl_4_tqs_512,0.70056974364451108
banana,banana_tsl_6_tqs_64,0.16816370125548696
banana,banana_tsl_6_tqs_128,0.20074992303958894
banana,banana_tsl_6_tqs_256,0.38370473652528192
banana,banana_tsl_6_tqs_512,0.64147348946485305
banana,banana_tsl_8_tqs_64,0.15371928881013797
banana,banana_tsl_8_tqs_128,0.13855345637316407
banana,banana_tsl_8_tqs_256,0.38098550708571599
banana,banana_tsl_8_tqs_512,0.61031915227711409
banana,banana_gQP_1_tQP_1,0.39698644057597998
banana,banana_gQP_1_tQP_2,0.43940481370886597
banana,banana_gQP_1_tQP_3,0.47857698252121605
banana,banana_gQP_2_tQP_1,0.56523031605585605
banana,banana_gQP_2_tQP_2,0.56017732836249001
banana,banana_gQP_2_tQP_3,0.60191421461549499
banana,banana_gQP_3_tQP_1,0.70892733359376303
banana,banana_gQP_3_tQP_2,0.76043676118859893
banana,banana_gQP_3_tQP_3,0.77340607128632699
banana,banana_pqs_1_qs_16,0.17074427175907703
banana,banana_pqs_1_qs_32,0.21890450988410193
banana,banana_pqs_1_qs_48,0.38105950342962602
banana,banana_pqs_1_qs_64,0.59984581543465099
glasses_case,glasses_case_level_7,0.89296743880530904
glasses_case,glasses_case_level_8,0.80960247414189401
glasses_case,glasses_case_level_9,0.30751863269903401
glasses_case,glasses_case_gsigma_0_tsigma_8,0.10005032369626088
glasses_case,glasses_case_gsigma_0_tsigma_16,0.21773040783466902
glasses_case,glasses_case_gsigma_0_tsigma_32,0.42538259250975197
glasses_case,glasses_case_gsigma_2_tsigma_8,0.57047945065482997
glasses_case,glasses_case_gsigma_2_tsigma_16,0.56038742608298797
glasses_case,glasses_case_gsigma_2_tsigma_32,0.67660156433719898
glasses_case,glasses_case_gsigma_4_tsigma_8,0.77704814934476996
glasses_case,glasses_case_gsigma_4_tsigma_16,0.78464977486532894
glasses_case,glasses_case_gsigma_4_tsigma_32,0.733129402606567
glasses_case,glasses_case_tsl_4_tqs_64,0.18954000544920302
glasses_case,glasses_case_tsl_4_tqs_128,0.26758645228984901
glasses_case,glasses_case_tsl_4_tqs_256,0.45338573467312304
glasses_case,glasses_case_tsl_4_tqs_512,0.718935006227158
glasses_case,glasses_case_tsl_6_tqs_64,0.46213234308404705
glasses_case,glasses_case_tsl_6_tqs_128,0.45104032560041896
glasses_case,glasses_case_tsl_6_tqs_256,0.64085745049337606
