Model,stimulus,MOS
banana,banana_level_7,0.92890971686473334
banana,banana_level_8,0.76916517428555697
banana,banana_level_9,0.10508460133013098
banana,banana_gsigma_0_tsigma_8,0.16906861697400699
banana,banana_gsigma_0_tsigma_16,0.39527750599881695
banana,banana_gsigma_0_tsigma_32,0.59886923655829905
banana,banana_gsigma_2_tsigma_8,0.49244874861844201
banana,banana_gsigma_2_tsigma_16,0.50332297791532099
banana,banana_gsigma_2_tsigma_32,0.68653705464765702
banana,banana_gsigma_4_tsigma_8,0.68022968026863895
banana,banana_gsigma_4_tsigma_16,0.72982891781084103
banana,banana_gsigma_4_tsigma_32,0.76616503258842805
banana,banana_tsl_4_tqs_64,0.45879075826861193
banana,banana_tsl_4_tqs_128,0.47504615380998505
banana,banana_tsl_4_tqs_256,0.65815687141926704
banana,banana_tsl_4_tqs_512,0.70056974364451108
banana,banana_tsl_6_tqs_64,0.16816370125548696
banana,banana_tsl_6_tqs_128,0.20074992303958894
banana,banana_tsl_6_tqs_256,0.38370473652528192
banana,banana_tsl_6_tqs_512,0.64147348946485305
banana,banana_tsl_8_tqs_64,0.15371928881013797
banana,banana_tsl_8_tqs_128,0.13855345637316407
banana,banana_tsl_8_tqs_256,0.38098550708571599
banana,banana_tsl_8_tqs_512,0.61031915227711409
banana,banana_gQP_1_tQP_1,0.39698644057597998
banana,banana_gQP_1_tQP_2,0.43940481370886597
banana,banana_gQP_1_tQP_3,0.47857698252121605
banana,banana_gQP_2_tQP_1,0.56523031605585605
banana,banana_gQP_2_tQP_2,0.56017732836249001
banana,banana_gQP_2_tQP_3,0.60191421461549499
banana,banana_gQP_3_tQP_1,0.70892733359376303
banana,banana_gQP_3_tQP_2,0.76043676118859893
banana,banana_gQP_3_tQP_3,0.77340607128632699
banana,banana_pqs_1_qs_16,0.17074427175907703
banana,banana_pqs_1_qs_32,0.21890450988410193
banana,banana_pqs_1_qs_48,0.38105950342962602
banana,banana_pqs_1_qs_64,0.59984581543465099
house,house_level_7,0.97046122576268301
house,house_level_8,0.84055537577287198
house,house_level_9,0.36308789680530407
house,house_gsigma_0_tsigma_8,0.098288643626285976
house,house_gsigma_0_tsigma_16,0.30194160576477902
house,house_gsigma_0_tsigma_32,0.51066784205718996
house,house_gsigma_2_tsigma_8,0.51318587887132394
house,house_gsigma_2_tsigma_16,0.53699164011310896
house,house_gsigma_2_tsigma_32,0.65133541237525105
house,house_gsigma_4_tsigma_8,0.64311452230965505
house,house_gsigma_4_tsigma_16,0.70102458557278102
house,house_gsigma_4_tsigma_32,0.80615457709272198
house,house_tsl_4_tqs_64,0.34905141920299998
house,house_tsl_4_tqs_128,0.45688983046195408
house,house_tsl_4_tqs_256,0.62098565389276206
house,house_tsl_4_tqs_512,0.77603563494329098
house,house_tsl_6_tqs_64,0.15226973050555603
house,house_tsl_6_tqs_128,0.24642854801599601
house,house_tsl_6_tqs_256,0.57013515870935505
house,house_tsl_6_tqs_512,0.73415265458948598
house,house_tsl_8_tqs_64,0.13211565702781902
house,house_tsl_8_tqs_128,0.19752188133264892
house,house_tsl_8_tqs_256,0.47398793484595603
house,house_tsl_8_tqs_512,0.72396691582349604
house,house_gQP_1_tQP_1,0.077720466422449008
